step;demand;disruption;ip_1;ip_2;ip_3;il_1;il_2;il_3;op_1;op_2;op_3;as_1;as_2;as_3;bo_1;bo_3
1;6,0;False;74,0;80,0;80,0;74,0;80,0;80,0;0,0;0,0;0,0;[0. 0. 0. 0.];[0. 0. 0. 0.];[0. 0. 0. 0.];0,0;0,0
2;9,0;False;71,0;74,0;80,0;65,0;74,0;80,0;6,0;0,0;0,0;[0. 0. 6. 0.];[0. 0. 0. 0.];[0. 0. 0. 0.];0,0;0,0
3;10,0;False;70,0;71,0;74,0;55,0;65,0;74,0;9,0;6,0;0,0;[ 0. 15.  0.  0.];[0. 6. 0. 0.];[0. 0. 0. 0.];0,0;0,0
4;10,0;False;70,0;70,0;71,0;45,0;55,0;65,0;10,0;9,0;6,0;[15.  0. 10.  0.];[6. 9. 0. 0.];[6. 0. 0. 0.];0,0;0,0
5;9,0;False;71,0;70,0;70,0;51,0;51,0;61,0;10,0;10,0;9,0;[10. 10.  0.  0.];[ 9.  0. 10.  0.];[0. 9. 0. 0.];0,0;0,0
6;9,0;False;71,0;71,0;70,0;52,0;51,0;51,0;9,0;10,0;10,0;[10.  9.  0.  0.];[ 0. 10. 10.  0.];[ 9.  0. 10.  0.];0,0;0,0
7;10,0;False;70,0;71,0;71,0;52,0;42,0;51,0;9,0;9,0;10,0;[18.  0.  0.  0.];[10. 19.  0.  0.];[10. 10.  0.  0.];0,0;0,0
8;8,0;False;72,0;70,0;71,0;62,0;42,0;52,0;10,0;9,0;9,0;[ 0.  0. 10.  0.];[19.  0.  9.  0.];[10.  0.  9.  0.];0,0;0,0
9;9,0;False;71,0;72,0;70,0;53,0;53,0;52,0;8,0;10,0;9,0;[ 0. 18.  0.  0.];[ 0. 19.  0.  0.];[9. 9. 0. 0.];0,0;0,0
10;11,0;False;69,0;71,0;72,0;42,0;44,0;53,0;9,0;8,0;10,0;[18.  9.  0.  0.];[27.  0.  0.  0.];[ 9.  0. 10.  0.];0,0;0,0
11;8,0;False;72,0;69,0;71,0;52,0;60,0;53,0;11,0;9,0;8,0;[ 9.  0. 11.  0.];[0. 0. 9. 0.];[ 8. 10.  0.  0.];0,0;0,0
12;11,0;False;69,0;72,0;69,0;50,0;52,0;50,0;8,0;11,0;9,0;[ 0. 11.  8.  0.];[ 0. 20.  0.  0.];[19.  0.  0.  0.];0,0;0,0
13;10,0;False;70,0;69,0;72,0;40,0;41,0;61,0;11,0;8,0;11,0;[22.  8.  0.  0.];[28.  0.  0.  0.];[11.  0.  0.  0.];0,0;0,0
14;9,0;False;71,0;70,0;69,0;53,0;59,0;61,0;10,0;11,0;8,0;[ 8. 10.  0.  0.];[ 0.  0. 11.  0.];[0. 0. 8. 0.];0,0;0,0
15;8,0;False;72,0;71,0;70,0;53,0;50,0;51,0;9,0;10,0;11,0;[10.  9.  0.  0.];[10. 11.  0.  0.];[11.  8.  0.  0.];0,0;0,0
16;10,0;False;70,0;72,0;71,0;53,0;52,0;53,0;8,0;9,0;10,0;[9. 8. 0. 0.];[11.  9.  0.  0.];[ 8.  0. 10.  0.];0,0;0,0
17;9,0;False;71,0;70,0;72,0;53,0;53,0;53,0;10,0;8,0;9,0;[ 8. 10.  0.  0.];[9. 8. 0. 0.];[ 9. 10.  0.  0.];0,0;0,0
18;7,0;False;73,0;71,0;70,0;54,0;53,0;52,0;9,0;10,0;8,0;[10.  9.  0.  0.];[18.  0.  0.  0.];[10.  8.  0.  0.];0,0;0,0
